word,today_count,yesterday_count ,growth_rate,trend_score,label
bağışıklık,1,1,0.0,0.0,0
kavgaya,1,1,0.0,0.0,0
tuttu,1,1,0.0,0.0,0
oynanacak,1,1,0.0,0.0,0
başsavcısı,1,1,0.0,0.0,0
yeşil,1,1,0.0,0.0,0
maçlar,1,2,-0.5,-0.5,0
trump,2,3,-0.3333333333333333,-0.6666666666666666,0
yapmaya,1,1,0.0,0.0,0
iyileşmesi,1,1,0.0,0.0,0
geçmişten,1,1,0.0,0.0,0
yuri,1,1,0.0,0.0,0
nerelere,1,1,0.0,0.0,0
miyiz,1,1,0.0,0.0,0
çölleri,1,1,0.0,0.0,0
ata,1,1,0.0,0.0,0
bin,2,2,0.0,0.0,0
cansu,1,1,0.0,0.0,0
trumpın,1,1,0.0,0.0,0
dönüyor,2,1,1.0,2.0,0
sistemi,2,2,0.0,0.0,0
okul,1,1,0.0,0.0,0
getirildi,1,1,0.0,0.0,0
ekonomisini,1,1,0.0,0.0,0
hakikati,1,1,0.0,0.0,0
dijitali,1,1,0.0,0.0,0
yiyecekler,1,1,0.0,0.0,0
yapay,1,2,-0.5,-0.5,0
doku,1,1,0.0,0.0,0
ceza,2,2,0.0,0.0,0
üyelik,1,1,0.0,0.0,0
video,1,1,0.0,0.0,0
açılan,1,1,0.0,0.0,0
stratejik,1,1,0.0,0.0,0
vur,1,1,0.0,0.0,0
ternus,1,1,0.0,0.0,0
aileler,1,1,0.0,0.0,0
krizine,1,1,0.0,0.0,0
ateşkesin,2,2,0.0,0.0,0
bilim,1,1,0.0,0.0,0
alanlara,1,1,0.0,0.0,0
davası,1,1,0.0,0.0,0
paylaşarak,1,1,0.0,0.0,0
yaklaştık,1,1,0.0,0.0,0
hakkında,3,2,0.5,1.5,0
şaşırtıcı,1,1,0.0,0.0,0
karşı,1,1,0.0,0.0,0
fırtınası,1,1,0.0,0.0,0
evleneceğim,1,1,0.0,0.0,0
aydınlatma,1,1,0.0,0.0,0
şişli,1,1,0.0,0.0,0
tartışmalı,1,2,-0.5,-0.5,0
çılgın,1,1,0.0,0.0,0
city,1,1,0.0,0.0,0
görme,1,1,0.0,0.0,0
çarptı,1,1,0.0,0.0,0
gezisine,1,1,0.0,0.0,0
tahliye,1,1,0.0,0.0,0
istemiyor,2,1,1.0,2.0,0
kimle,1,1,0.0,0.0,0
sürecek,1,1,0.0,0.0,0
kadınlar,1,1,0.0,0.0,0
ardından,1,1,0.0,0.0,0
işliyor,1,1,0.0,0.0,0
türkiyede,3,1,2.0,6.0,1
uçuşunu,1,1,0.0,0.0,0
nisan,2,2,0.0,0.0,0
faizi,1,1,0.0,0.0,0
sisiyle,1,1,0.0,0.0,0
öncesi,1,1,0.0,0.0,0
ölümünü,1,1,0.0,0.0,0
olmadığı,1,1,0.0,0.0,0
emrah,1,1,0.0,0.0,0
arsenal,1,1,0.0,0.0,0
dönem,1,1,0.0,0.0,0
savundu,1,1,0.0,0.0,0
sosyal,4,3,0.3333333333333333,1.3333333333333333,0
fotoğrafları,1,1,0.0,0.0,0
yaş,1,2,-0.5,-0.5,0
kişiyi,1,1,0.0,0.0,0
işte,1,1,0.0,0.0,0
söz,1,1,0.0,0.0,0
necati,1,1,0.0,0.0,0
soruşturmasında,1,1,0.0,0.0,0
şartlarda,1,1,0.0,0.0,0
davasında,2,2,0.0,0.0,0
rehberlik,1,1,0.0,0.0,0
ortaklık,1,2,-0.5,-0.5,0
kapsamında,1,1,0.0,0.0,0
tohumu,1,1,0.0,0.0,0
ifadeye,1,1,0.0,0.0,0
engelli,1,1,0.0,0.0,0
boğazı,1,1,0.0,0.0,0
uzatıldı,1,1,0.0,0.0,0
günlük,1,1,0.0,0.0,0
merak,1,2,-0.5,-0.5,0
doğal,1,1,0.0,0.0,0
sırtüstü,1,1,0.0,0.0,0
edilen,1,1,0.0,0.0,0
den,1,1,0.0,0.0,0
bilmeniz,1,1,0.0,0.0,0
euro,1,1,0.0,0.0,0
çekişme,1,1,0.0,0.0,0
arasındaki,1,1,0.0,0.0,0
kolay,1,1,0.0,0.0,0
kimdir,1,1,0.0,0.0,0
maçı,1,1,0.0,0.0,0
şiddete,1,1,0.0,0.0,0
sağlığını,1,1,0.0,0.0,0
başkanı,1,3,-0.6666666666666666,-0.6666666666666666,0
emri,1,1,0.0,0.0,0
yararlı,1,1,0.0,0.0,0
hayvan,1,1,0.0,0.0,0
nedir,1,1,0.0,0.0,0
kar,1,1,0.0,0.0,0
eşi,1,1,0.0,0.0,0
bugüne,1,1,0.0,0.0,0
sektörünü,1,1,0.0,0.0,0
iranda,1,1,0.0,0.0,0
soruşturmayı,1,1,0.0,0.0,0
ruh,1,1,0.0,0.0,0
galibiyetiyle,1,1,0.0,0.0,0
cem,1,1,0.0,0.0,0
zekanın,1,1,0.0,0.0,0
güvenmeli,1,1,0.0,0.0,0
işleyebilir,1,1,0.0,0.0,0
lira,1,2,-0.5,-0.5,0
sürerken,1,1,0.0,0.0,0
milyar,1,1,0.0,0.0,0
alınsın,1,1,0.0,0.0,0
boğazında,1,1,0.0,0.0,0
yeni,3,2,0.5,1.5,0
gözlem,1,1,0.0,0.0,0
sözlerini,1,1,0.0,0.0,0
tarihin,1,1,0.0,0.0,0
yarışında,1,1,0.0,0.0,0
ingiltere,2,1,1.0,2.0,0
ortadoğuda,1,1,0.0,0.0,0
baş,1,1,0.0,0.0,0
gizemini,1,1,0.0,0.0,0
kızının,1,1,0.0,0.0,0
haftada,1,1,0.0,0.0,0
şampiyonluk,1,2,-0.5,-0.5,0
bankası,1,1,0.0,0.0,0
format,1,1,0.0,0.0,0
merkez,2,1,1.0,2.0,0
süresi,1,1,0.0,0.0,0
mücadelesi,1,1,0.0,0.0,0
belediye,1,3,-0.6666666666666666,-0.6666666666666666,0
isveç,1,1,0.0,0.0,0
edip,1,1,0.0,0.0,0
iran,9,8,0.125,1.125,0
gelebilecek,1,1,0.0,0.0,0
büyük,1,1,0.0,0.0,0
gitmek,1,1,0.0,0.0,0
yasağı,2,2,0.0,0.0,0
oynayacak,1,1,0.0,0.0,0
onay,1,1,0.0,0.0,0
abd,1,3,-0.6666666666666666,-0.6666666666666666,0
başbakanı,1,1,0.0,0.0,0
hürmüz,2,3,-0.3333333333333333,-0.6666666666666666,0
ateşkes,1,1,0.0,0.0,0
yıllara,1,1,0.0,0.0,0
galatasaray,1,2,-0.5,-0.5,0
ülkeler,1,1,0.0,0.0,0
kaleme,1,1,0.0,0.0,0
musk,1,1,0.0,0.0,0
uygun,1,1,0.0,0.0,0
etkiliyor,1,1,0.0,0.0,0
sıçradı,1,1,0.0,0.0,0
sabit,1,1,0.0,0.0,0
tehdit,1,1,0.0,0.0,0
sağlık,1,1,0.0,0.0,0
yatarak,1,1,0.0,0.0,0
sağlıklı,1,1,0.0,0.0,0
gezegenin,1,1,0.0,0.0,0
murat,1,1,0.0,0.0,0
temsilcisi,1,1,0.0,0.0,0
imzalandı,1,1,0.0,0.0,0
ibb,2,2,0.0,0.0,0
türkiyenin,1,1,0.0,0.0,0
bira,1,1,0.0,0.0,0
okullarda,1,1,0.0,0.0,0
tunceli,1,1,0.0,0.0,0
doğum,2,2,0.0,0.0,0
abden,1,1,0.0,0.0,0
uzay,1,1,0.0,0.0,0
türkçe,1,1,0.0,0.0,0
tavsiyelerine,1,1,0.0,0.0,0
özel,2,2,0.0,0.0,0
manchester,1,1,0.0,0.0,0
medyadan,1,1,0.0,0.0,0
komik,1,1,0.0,0.0,0
john,1,1,0.0,0.0,0
destekleyebilir,1,1,0.0,0.0,0
dünya,4,4,0.0,0.0,0
devam,1,1,0.0,0.0,0
turizm,1,1,0.0,0.0,0
düşünüldüğü,1,1,0.0,0.0,0
yana,1,1,0.0,0.0,0
fotoğraflar,1,1,0.0,0.0,0
appleda,1,1,0.0,0.0,0
verin,1,1,0.0,0.0,0
misiniz,1,1,0.0,0.0,0
yayaya,1,1,0.0,0.0,0
yöntemleri,1,1,0.0,0.0,0
savunmasına,1,1,0.0,0.0,0
dokuzuncu,1,1,0.0,0.0,0
çağrıldı,1,1,0.0,0.0,0
eleştirdi,1,1,0.0,0.0,0
yaşandı,2,2,0.0,0.0,0
etmenin,1,1,0.0,0.0,0
ebru,1,1,0.0,0.0,0
barrack,1,1,0.0,0.0,0
yapmalı,1,1,0.0,0.0,0
gagarin,1,1,0.0,0.0,0
tedavileri,1,1,0.0,0.0,0
yorumladı,1,1,0.0,0.0,0
gerçekleştirdi,1,1,0.0,0.0,0
insanlı,1,1,0.0,0.0,0
gereken,1,1,0.0,0.0,0
resul,1,1,0.0,0.0,0
kim,1,1,0.0,0.0,0
ongun,1,1,0.0,0.0,0
hürmüzde,1,1,0.0,0.0,0
savaşı,5,4,0.25,1.25,0
çağrısı,1,1,0.0,0.0,0
ekonomik,1,1,0.0,0.0,0
üçüncü,1,1,0.0,0.0,0
açılamaz,1,1,0.0,0.0,0
savunma,1,1,0.0,0.0,0
sağlığa,1,1,0.0,0.0,0
italya,1,1,0.0,0.0,0
gözyaşlarına,1,1,0.0,0.0,0
beş,1,2,-0.5,-0.5,0
abddeki,1,1,0.0,0.0,0
halinize,1,1,0.0,0.0,0
mesajları,1,1,0.0,0.0,0
beslenme,1,1,0.0,0.0,0
yaraların,1,1,0.0,0.0,0
ocak,1,1,0.0,0.0,0
çin,1,1,0.0,0.0,0
askıya,2,1,1.0,2.0,0
tff,1,1,0.0,0.0,0
olacak,1,1,0.0,0.0,0
cumhuriyet,1,1,0.0,0.0,0
kupası,3,3,0.0,0.0,0
fenerbahçe,1,1,0.0,0.0,0
ihlalleri,1,1,0.0,0.0,0
soruşturma,2,1,1.0,2.0,0
savaşıyor,1,1,0.0,0.0,0
özkan,1,1,0.0,0.0,0
zelenskiyden,1,1,0.0,0.0,0
yayınlarla,1,1,0.0,0.0,0
fotoğraflarla,1,1,0.0,0.0,0
kanserle,1,1,0.0,0.0,0
ilişkileri,1,1,0.0,0.0,0
yılmaz,1,1,0.0,0.0,0
deniz,2,2,0.0,0.0,0
bükebiliyorsunuz,1,1,0.0,0.0,0
ekonomistler,1,1,0.0,0.0,0
